distance(*)	x(Cr)	x(Fe)	x(Ni)
meter	x	x	x
3.92E-07	0.307240873	0.096645435	0.60529318
2.40E-06	0.309429455	0.107994593	0.601987623
4.28E-06	0.289689297	0.092410849	0.605074054
5.07E-06	0.306892148	0.109790435	0.595091086
7.14E-06	0.301826394	0.100846204	0.605077525
9.64E-06	0.309360361	0.10419195	0.609797012
1.21E-05	0.299814347	0.109995163	0.608072529
1.43E-05	0.299018413	0.095801778	0.592251955
1.58E-05	0.30524246	0.098367445	0.59803623
1.86E-05	0.293528236	0.09933081	0.598378588
2.04E-05	0.298936718	0.10538085	0.604624029
2.29E-05	0.306579357	0.106487699	0.603272908
2.41E-05	0.300080649	0.092096437	0.607107848
2.57E-05	0.304974567	0.093671265	0.599173128
2.72E-05	0.302702546	0.097345976	0.596037539
3.02E-05	0.299168125	0.091437311	0.59398173
3.26E-05	0.292182439	0.100630353	0.60799829
3.38E-05	0.299811968	0.0970478	0.597299025
3.52E-05	0.287739763	0.093874731	0.601333976
3.75E-05	0.297893712	0.094650143	0.605189845
3.93E-05	0.29794815	0.108678102	0.599274775
4.16E-05	0.298598438	0.10417549	0.608167745
4.39E-05	0.300850705	0.100230034	0.605793274
4.61E-05	0.301841542	0.10924783	0.599836252
4.79E-05	0.296289119	0.093331038	0.613479295
5.08E-05	0.291432673	0.106443448	0.600675856
5.20E-05	0.297001403	0.106505554	0.60566598
5.49E-05	0.288423012	0.103512193	0.605651291
5.63E-05	0.275565327	0.096393892	0.612681766
5.89E-05	0.275949617	0.105119073	0.605122702
5.95E-05	0.288733227	0.099895781	0.612730254
6.24E-05	0.27893199	0.09726129	0.608272035
6.36E-05	0.283894868	0.099723302	0.609776653
6.63E-05	0.268609266	0.114399175	0.624767054
6.84E-05	0.272780684	0.099018407	0.616507198
6.91E-05	0.271406377	0.103733635	0.624378057
7.15E-05	0.256292868	0.101429755	0.633280738
7.34E-05	0.264660959	0.110779135	0.624338315
7.63E-05	0.256089237	0.104003999	0.631315701
7.87E-05	0.246125932	0.123640222	0.634330311
7.97E-05	0.251038665	0.111760819	0.629577927
8.26E-05	0.241029311	0.111999046	0.635799222
8.44E-05	0.235476856	0.118671241	0.626656017
8.50E-05	0.232695256	0.124318887	0.64489209
8.82E-05	0.227022889	0.119966637	0.631723375
8.98E-05	0.223273474	0.140687762	0.63505158
9.28E-05	0.215584795	0.130438093	0.647428622
9.30E-05	0.222689588	0.132754108	0.642959274
9.59E-05	0.210753246	0.131190841	0.65031332
9.78E-05	0.210998809	0.139080506	0.644577633
9.99E-05	0.209223732	0.137229132	0.643836198
0.00010254	0.200396834	0.149598862	0.64083988
0.000103645	0.196257684	0.157884237	0.655268516
0.000106569	0.189594256	0.158405846	0.65211625
0.000107943	0.178394338	0.150649611	0.654267315
0.000109072	0.181014436	0.153462631	0.659144471
0.000111352	0.183637261	0.170305641	0.649849938
0.000114444	0.179574371	0.175646299	0.656676802
0.000115947	0.163074589	0.170930379	0.667530802
0.000117305	0.157586122	0.164993778	0.667701071
0.000119682	0.160584289	0.181770444	0.65796768
0.000122215	0.158044	0.174394645	0.659732575
0.000123383	0.149801785	0.175621832	0.660643471
0.000126477	0.141895999	0.1867115	0.660594686
0.000127486	0.153219724	0.173898473	0.670509385
0.000130835	0.132539727	0.17643036	0.676751747
0.000131538	0.129820799	0.190458811	0.679651351
0.000134531	0.127566006	0.190638625	0.677329737
0.000135377	0.125118006	0.190551803	0.670357808
0.000137575	0.131578804	0.195820712	0.682249174
0.000139182	0.128114939	0.196471278	0.673563045
0.000142152	0.115280851	0.19904582	0.675028495
0.000144367	0.130658123	0.190068403	0.675628924
0.000146093	0.124564751	0.198996011	0.677703657
0.000147851	0.122830913	0.196986803	0.67943754
0.000150289	0.107581684	0.194442503	0.681099297
0.000152295	0.121901669	0.188290598	0.684597954
0.000154358	0.121852233	0.203194605	0.685573355
0.000156272	0.121473427	0.194723603	0.684593879
0.00015889	0.117742502	0.200527452	0.686086977
0.000159418	0.115147008	0.203532068	0.699715632
0.000162419	0.108669821	0.191006826	0.69675163
0.000163472	0.100910864	0.191790367	0.694523345
0.000165239	0.104609205	0.200298339	0.687743721
0.000168215	0.098431998	0.199262023	0.688929809
0.0001699	0.095792696	0.207426424	0.686755121
0.000171917	0.113151609	0.20579649	0.704089949
0.000174324	0.09998333	0.204490304	0.700373613
0.000176541	0.099550443	0.190899125	0.697643527
0.0001777	0.099539459	0.191436485	0.693409068
0.000180324	0.102186091	0.191773258	0.690476635
0.000181832	0.105211279	0.205974238	0.700195413
0.000184684	0.092706455	0.208996224	0.707420743
0.000186666	0.108567564	0.203647885	0.691711635
0.000187513	0.102895841	0.192816439	0.693265876
0.000190227	0.108555348	0.204453777	0.696463351
0.000192164	0.098404497	0.192320444	0.689919608
0.000194081	0.100191571	0.192465959	0.70229478
0.00019674	0.092395374	0.20286997	0.696681571
0.00019753	0.094668887	0.196670347	0.708435905
0.000199636	0.104382897	0.203170303	0.696822881
